Round/Game,Winner,Loser,Crash,Timeout,Map,Duration,W Score,L Score,(W-L)/Max,W 55,W 1000,W 10000,L 55,L 1000,L 10000,Win Addr,Lose Addr,Start,Finish,Round/Game,,Bot,Games,Win,Loss,Win %,AvgTime,Hour,Crash,Timeout
2 / 00441,Aiur,MegaBot,MegaBot,FALSE,HeartbreakRidge,00:00:01,450,0,0.99778,0,0,0,0,0,0,/192.168.0.22,/192.168.0.34,20160925_023830,20160925_024003,3 / 00441,,,,,,,,,,
2 / 00442,Aiur,NUSBot,NUSBot,FALSE,HeartbreakRidge,00:00:01,450,0,0.99778,0,0,0,0,0,0,/192.168.0.32,/192.168.0.33,20160925_024006,20160925_024140,3 / 00442,,,,,,,,,,
2 / 00443,Aiur,Skynet,FALSE,FALSE,HeartbreakRidge,00:06:22,9264,3072,0.66832,0,0,0,0,0,0,/192.168.0.11,/192.168.0.23,20160925_024141,20160925_024302,3 / 00443,,,,,,,,,,
2 / 00446,Aiur,IceBot,FALSE,FALSE,HeartbreakRidge,00:14:46,58807,35584,0.3949,0,0,0,2,0,0,/192.168.0.12,/192.168.0.32,20160925_024346,20160925_024623,3 / 00446,,,,,,,,,,
2 / 00448,Aiur,LetaBot,FALSE,FALSE,HeartbreakRidge,00:30:39,80300,65829,0.18021,2,0,0,0,0,0,/192.168.0.23,/192.168.0.41,20160925_024508,20160925_024927,3 / 00448,,,,,,,,,,
2 / 00450,Aiur,SRbotOne,FALSE,FALSE,HeartbreakRidge,00:17:49,75405,49680,0.34115,0,0,0,107,0,0,/192.168.0.42,/192.168.0.34,20160925_024628,20160925_025021,3 / 00450,,,,,,,,,,
2 / 00452,Aiur,Tyr,FALSE,FALSE,HeartbreakRidge,00:06:23,9887,450,0.95439,0,0,0,0,0,0,/192.168.0.12,/192.168.0.33,20160925_024749,20160925_024856,3 / 00452,,,,,,,,,,
2 / 00453,Aiur,Cimex,FALSE,FALSE,HeartbreakRidge,00:06:03,8855,3105,0.64928,0,0,0,0,0,0,/192.168.0.11,/192.168.0.12,20160925_024910,20160925_025026,3 / 00453,,,,,,,,,,
2 / 00454,Aiur,GarmBot,FALSE,FALSE,HeartbreakRidge,00:18:49,63729,16488,0.74127,0,0,0,0,0,0,/192.168.0.33,/192.168.0.41,20160925_024949,20160925_025357,3 / 00454,,,,,,,,,,
2 / 00456,Aiur,Overkill,FALSE,FALSE,HeartbreakRidge,00:29:19,120656,126260,-0.04438,0,0,0,0,0,0,/192.168.0.13,/192.168.0.34,20160925_025116,20160925_025820,3 / 00456,,,,,,,,,,
3 / 00650,Aiur,CruzBot,FALSE,FALSE,Aztec,00:14:28,44895,6735,0.84996,0,0,0,2,0,0,/192.168.0.11,/192.168.0.43,20160925_054031,20160925_054316,4 / 00650,,,,,,,,,,
3 / 00652,Aiur,NUSBot,FALSE,FALSE,Aztec,00:16:56,60813,35809,0.41116,0,0,0,4,0,0,/192.168.0.44,/192.168.0.23,20160925_054207,20160925_054559,4 / 00652,,,,,,,,,,
3 / 00653,Aiur,Skynet,FALSE,FALSE,Aztec,00:09:10,25728,9896,0.61534,0,0,0,3,0,0,/192.168.0.13,/192.168.0.42,20160925_054246,20160925_054444,4 / 00653,,,,,,,,,,
3 / 00656,Aiur,IceBot,FALSE,FALSE,Aztec,00:13:44,63458,29769,0.53088,0,0,0,3,0,0,/192.168.0.22,/192.168.0.11,20160925_054452,20160925_054728,4 / 00656,,,,,,,,,,
3 / 00659,Aiur,Oritaka,FALSE,FALSE,Aztec,00:11:16,33336,7253,0.7824,0,0,0,0,0,0,/192.168.0.44,/192.168.0.41,20160925_054654,20160925_054918,4 / 00659,,,,,,,,,,
3 / 00660,Aiur,SRbotOne,FALSE,FALSE,Aztec,00:12:22,34191,9658,0.71751,0,0,0,2,0,0,/192.168.0.32,/192.168.0.23,20160925_054735,20160925_054933,4 / 00660,,,,,,,,,,
3 / 00661,Aiur,TerranUAB,FALSE,FALSE,Aztec,00:11:10,31074,6569,0.78858,0,0,0,0,0,0,/192.168.0.22,/192.168.0.43,20160925_054811,20160925_055019,4 / 00661,,,,,,,,,,
3 / 00662,Aiur,Tyr,FALSE,FALSE,Aztec,00:07:54,11303,450,0.9601,0,0,0,0,0,0,/192.168.0.34,/192.168.0.11,20160925_054851,20160925_055011,4 / 00662,,,,,,,,,,
3 / 00663,Aiur,Cimex,FALSE,FALSE,Aztec,00:12:58,37487,15054,0.5984,0,0,0,0,0,0,/192.168.0.41,/192.168.0.42,20160925_054932,20160925_055202,4 / 00663,,,,,,,,,,
